Ciudad;Años;Población;PIB;Vehiculos_1000_hab
A Coruña;2013;245923;20600;452,61
A Coruña;2014;244810;20600;454,22
A Coruña;2015;243870;21800;455,33
A Coruña;2016;243978;22700;457,16
A Coruña;2017;244099;23300;432,69
A Coruña;2018;244850;24300;435,15
A Coruña;2019;245711;24800;436,96
A Coruña;2020;247604;22700;434,89
A Coruña;2021;245468;24600;436,93
A Coruña;2022;244700;27800;436,16
A Coruña;2023;247350;29700;427,69
A Coruña;2024;305086;30100;438,2
Albacete;2013;172693;17800;429,32
Albacete;2014;172487;17700;427,96
Albacete;2015;172121;18900;432,74
Albacete;2016;172426;19400;438,58
Albacete;2017;172816;20500;416,79
Albacete;2018;173050;21400;423,47
Albacete;2019;173329;22300;430,41
Albacete;2020;174336;20700;433,36
Albacete;2021;172722;22900;442,38
Albacete;2022;172357;24600;445,67
Albacete;2023;173202;26500;445,81
Albacete;2024;174073;26700;441,35
Alicante;2013;335052;16300;442,35
Alicante;2014;332067;16900;440,71
Alicante;2015;328648;17600;447,13
Alicante;2016;330525;18500;451,01
Alicante;2017;329988;19300;429,86
Alicante;2018;331577;19800;436,57
Alicante;2019;334887;20300;438,9
Alicante;2020;337482;18300;438,76
Alicante;2021;337304;20300;442,3
Alicante;2022;338577;21700;444,36
Alicante;2023;350598;23500;430,68
Alicante;2024;503432;24900;431,74
Barcelona;2013;3190951;26000;364,87
Barcelona;2014;3176357;26600;362,66
Barcelona;2015;3610906;27800;382,73
Barcelona;2016;3624554;28900;386,47
Barcelona;2017;3648483;30200;361,14
Barcelona;2018;3665687;31100;360,68
Barcelona;2019;3701270;31900;356,87
Barcelona;2020;3755512;28400;349,74
Barcelona;2021;3719096;30600;348,38
Barcelona;2022;3720333;33300;344,65
Barcelona;2023;3767382;35900;335,52
Barcelona;2024;2658830;38700;278,97
Bilbao;2013;787515;30100;381,05
Bilbao;2014;788521;30800;389,54
Bilbao;2015;790148;31900;395,41
Bilbao;2016;797003;32800;396,41
Bilbao;2017;790423;33900;399,01
Bilbao;2018;791054;34700;402,51
Bilbao;2019;792617;35500;404,58
Bilbao;2020;797590;31200;404,16
Bilbao;2021;791740;33400;406,72
Bilbao;2022;787516;35800;407,88
Bilbao;2023;790197;37100;404,52
Bilbao;2024;782473;38400;393,27
Madrid;2013;3207247;30300;454,32
Madrid;2014;3165235;30800;455,25
Madrid;2015;4852911;32300;476,42
Madrid;2016;4878277;33300;482,97
Madrid;2017;4904291;34600;437,53
Madrid;2018;4955432;35600;437,94
Madrid;2019;5012504;36600;436,15
Madrid;2020;5098717;32900;430,74
Madrid;2021;5055735;35700;434,84
Madrid;2022;5030132;39200;436,78
Madrid;2023;5115272;42600;425,07
Madrid;2024;4501429;44700;396,65
Murcia;2013;438246;18500;194,77
Murcia;2014;439712;18600;481,22
Murcia;2015;439889;19900;486,59
Murcia;2016;441003;20400;496,87
Murcia;2017;443243;21100;473,36
Murcia;2018;447182;21400;481,4
Murcia;2019;453258;22000;486,08
Murcia;2020;459403;20100;487,59
Murcia;2021;460349;22100;493,1
Murcia;2022;462979;24300;495,17
Murcia;2023;467501;25500;493,18
Murcia;2024;471982;26900;472,56
Santa Cruz de Tenerife;2013;355328;18700;507,21
Santa Cruz de Tenerife;2014;355987;18900;510,25
Santa Cruz de Tenerife;2015;356654;19700;523,26
Santa Cruz de Tenerife;2016;356696;20100;529,35
Santa Cruz de Tenerife;2017;357347;21000;499,96
Santa Cruz de Tenerife;2018;360405;21500;508,42
Santa Cruz de Tenerife;2019;364815;21800;513,35
Santa Cruz de Tenerife;2020;368105;17800;517,37
Santa Cruz de Tenerife;2021;366573;19400;523,58
Santa Cruz de Tenerife;2022;366503;22400;525,68
Santa Cruz de Tenerife;2023;368482;24500;521,12
Santa Cruz de Tenerife;2024;371341;25800;505,42
Sevilla;2013;879520;17700;453,67
Sevilla;2014;880634;18000;458,21
Sevilla;2015;881439;18600;462,54
Sevilla;2016;879806;18900;467,17
Sevilla;2017;879624;19800;444,41
Sevilla;2018;879870;20400;448,51
Sevilla;2019;880726;21000;452,23
Sevilla;2020;884899;19200;452,76
Sevilla;2021;878677;21300;457,09
Sevilla;2022;876754;23300;457,96
Sevilla;2023;881124;24900;453,76
Sevilla;2024;686741;25100;433,51
Valencia;2013;1375241;20600;425,81
Valencia;2014;1379510;21100;435,82
Valencia;2015;1383908;21900;449,75
Valencia;2016;1388368;22200;455,3
Valencia;2017;1386992;22800;435,7
Valencia;2018;1393606;23800;440,09
Valencia;2019;1403247;24400;442,22
Valencia;2020;1417464;22100;441,3
Valencia;2021;1408030;24000;445,95
Valencia;2022;1414213;25900;444,24
Valencia;2023;1439503;28100;434,68
Valencia;2024;1474632;28900;390,5
Valladolid;2013;309714;22200;430,63
Valladolid;2014;306830;22700;432,23
Valladolid;2015;303905;23700;437,69
Valladolid;2016;301876;25000;444,92
Valladolid;2017;299715;26400;428,31
Valladolid;2018;298866;27600;432,81
Valladolid;2019;298412;28100;437,37
Valladolid;2020;299265;26100;438,39
Valladolid;2021;297775;26900;439,78
Valladolid;2022;295639;29400;440,52
Valladolid;2023;297129;31400;437,44
Valladolid;2024;322066;31600;435,75
Zaragoza;2013;682004;23900;368,92
Zaragoza;2014;666058;24400;376,87
Zaragoza;2015;664953;25200;380,37
Zaragoza;2016;661108;26100;388,78
Zaragoza;2017;664938;27600;370,4
Zaragoza;2018;666880;28600;374,46
Zaragoza;2019;674997;29400;373,95
Zaragoza;2020;681877;27200;373,34
Zaragoza;2021;675301;29300;377,94
Zaragoza;2022;673010;32800;378,31
Zaragoza;2023;683949;34900;371,81
Zaragoza;2024;691037;36600;365,5
